"","barcode","LENGTH_KB"
"TCGA-BH-A0BL","TCGA-BH-A0BL",994254.871
"TCGA-BH-A0BO","TCGA-BH-A0BO",52147.507
"TCGA-BH-A0BP","TCGA-BH-A0BP",1923754.5
"TCGA-BH-A0BQ","TCGA-BH-A0BQ",288401.949
"TCGA-BH-A0BR","TCGA-BH-A0BR",1343373.779
"TCGA-BH-A0BS","TCGA-BH-A0BS",141023.417
"TCGA-BH-A0BT","TCGA-BH-A0BT",1080552.401
"TCGA-BH-A0BW","TCGA-BH-A0BW",1145416.641
"TCGA-BH-A0BZ","TCGA-BH-A0BZ",435435.934
"TCGA-BH-A0C1","TCGA-BH-A0C1",481283.969
"TCGA-BH-A0C3","TCGA-BH-A0C3",483901.205
"TCGA-BH-A0C7","TCGA-BH-A0C7",858788.38
"TCGA-BH-A0DE","TCGA-BH-A0DE",539833.554
"TCGA-BH-A0DG","TCGA-BH-A0DG",455824.12
"TCGA-BH-A0DI","TCGA-BH-A0DI",759639.712
"TCGA-BH-A0DL","TCGA-BH-A0DL",756090.063
"TCGA-BH-A0DO","TCGA-BH-A0DO",462167.306
"TCGA-BH-A0DT","TCGA-BH-A0DT",550742.015
"TCGA-BH-A0DV","TCGA-BH-A0DV",23782.531
"TCGA-BH-A0DX","TCGA-BH-A0DX",571850.863
"TCGA-BH-A0E2","TCGA-BH-A0E2",817189.76
"TCGA-BH-A0E9","TCGA-BH-A0E9",630736.489
"TCGA-BH-A0EA","TCGA-BH-A0EA",172227.37
"TCGA-BH-A0EI","TCGA-BH-A0EI",469718.866
"TCGA-BH-A0H3","TCGA-BH-A0H3",173313.73
"TCGA-BH-A0H5","TCGA-BH-A0H5",25.969
"TCGA-BH-A0HA","TCGA-BH-A0HA",242637.833
"TCGA-BH-A0W7","TCGA-BH-A0W7",879670.444
"TCGA-BH-A18F","TCGA-BH-A18F",653047.3
"TCGA-BH-A18G","TCGA-BH-A18G",206073.715
"TCGA-BH-A18H","TCGA-BH-A18H",761810.819
"TCGA-BH-A18I","TCGA-BH-A18I",421465.104
"TCGA-BH-A18J","TCGA-BH-A18J",679051.492
"TCGA-BH-A18K","TCGA-BH-A18K",1230456.178
"TCGA-BH-A18L","TCGA-BH-A18L",1627746.491
"TCGA-BH-A18M","TCGA-BH-A18M",513973.685
"TCGA-BH-A18N","TCGA-BH-A18N",403941.365
"TCGA-BH-A18P","TCGA-BH-A18P",478373.769
"TCGA-BH-A18Q","TCGA-BH-A18Q",2116557.307
"TCGA-BH-A18S","TCGA-BH-A18S",435363.066
"TCGA-BH-A18T","TCGA-BH-A18T",1866326.967
"TCGA-BH-A18U","TCGA-BH-A18U",1756620.065
"TCGA-BH-A18V","TCGA-BH-A18V",1981391.2
"TCGA-BH-A1EN","TCGA-BH-A1EN",1796832.481
"TCGA-BH-A1EO","TCGA-BH-A1EO",746583.853
"TCGA-BH-A1ES","TCGA-BH-A1ES",667782.04
"TCGA-BH-A1ET","TCGA-BH-A1ET",257612.346
"TCGA-BH-A1EU","TCGA-BH-A1EU",341866.12
"TCGA-BH-A1EV","TCGA-BH-A1EV",1188388.436
"TCGA-BH-A1EW","TCGA-BH-A1EW",996218.672
"TCGA-BH-A1EX","TCGA-BH-A1EX",655618.891
"TCGA-BH-A1EY","TCGA-BH-A1EY",1050396.33
"TCGA-BH-A1F2","TCGA-BH-A1F2",1364048.334
"TCGA-BH-A1F5","TCGA-BH-A1F5",420663.594
"TCGA-BH-A1F6","TCGA-BH-A1F6",1672399.631
"TCGA-BH-A1F8","TCGA-BH-A1F8",2883925.442
"TCGA-BH-A1FC","TCGA-BH-A1FC",1327999.898
"TCGA-BH-A1FE","TCGA-BH-A1FE",376366.177
"TCGA-BH-A1FG","TCGA-BH-A1FG",337415.76
"TCGA-BH-A1FH","TCGA-BH-A1FH",64293.276
"TCGA-BH-A1FJ","TCGA-BH-A1FJ",287468.955
"TCGA-BH-A1FL","TCGA-BH-A1FL",259433.761
"TCGA-BH-A1FM","TCGA-BH-A1FM",1520282.587
"TCGA-BH-A1FN","TCGA-BH-A1FN",1525608.655
"TCGA-BH-A1FR","TCGA-BH-A1FR",1525.394
"TCGA-BH-A1FU","TCGA-BH-A1FU",185557.77
"TCGA-BH-A201","TCGA-BH-A201",363577.681
"TCGA-BH-A202","TCGA-BH-A202",764662.902
"TCGA-BH-A209","TCGA-BH-A209",887788.39
"TCGA-BH-A28O","TCGA-BH-A28O",941.108
"TCGA-BH-A28Q","TCGA-BH-A28Q",458633.287
"TCGA-BH-A2L8","TCGA-BH-A2L8",43326.48
"TCGA-BH-A42T","TCGA-BH-A42T",1162773.364
"TCGA-BH-A42U","TCGA-BH-A42U",100.396
"TCGA-BH-A42V","TCGA-BH-A42V",259373.304
"TCGA-BH-A5IZ","TCGA-BH-A5IZ",2258656.198
"TCGA-BH-A5J0","TCGA-BH-A5J0",1326374.233
"TCGA-C8-A12L","TCGA-C8-A12L",1749081.852
"TCGA-C8-A12M","TCGA-C8-A12M",1286067.987
"TCGA-C8-A12N","TCGA-C8-A12N",218677.457
"TCGA-C8-A12O","TCGA-C8-A12O",968532.845
"TCGA-C8-A12P","TCGA-C8-A12P",969792.18
